text,label
check identity for government id for onboarding,kyc
what industries do you work with,convo
do obr,ocr
compare files,recon
what solutions do you offer,convo
recon,recon
cross-check bank statement and ledger and show mismatches,recon
extract text from this form and show me the extracted words,ocr
obr,ocr
good morning,convo
do you provide ai services,convo
perform ocr on this image,ocr
check identity for user for verification,kyc
detect text in this scanned pdf,ocr
where is technodysis located,convo
reconcile transaction records and tell me what changed,recon
scan this bill and copy the text,ocr
passport check,kyc
hello,convo
ocr this,ocr
detect text in this scanned pdf,ocr
validate two files quickly,recon
ocr my file,ocr
highlight differences in transaction records for me,recon
do kyc for passport,kyc
check id,kyc
validate payment records,recon
verify customer for account opening,kyc
match files,recon
match files,recon
hello,convo
detect text in this pdf and show me the extracted words,ocr
highlight differences in transaction records today,recon
verify bank statement and ledger in detail,recon
validate voter id and extract name and dob,kyc
verify two spreadsheets and tell me what changed,recon
what industries do you work with,convo
where is technodysis located,convo
extract text from this image and show me the extracted words,ocr
do kyc for aadhaar for verification,kyc
find mismatch in bank statement and ledger and show mismatches,recon
get text,ocr
cross check two csv files today,recon
cross-check two reports quickly,recon
grab text,ocr
verify id,kyc
what does your company do,convo
detect text in this pdf and copy the text,ocr
get text,ocr
tell me about technodysis,convo
compare files,recon
ocr image,ocr
check identity for aadhar and validate details,kyc
know your custard,kyc
do odr,ocr
do obr,ocr
where is technodysis located,convo
what is technodysis,convo
do kyc for driving license for onboarding,kyc
get text,ocr
aadhaar check,kyc
perform ocr on this document and show me the extracted words,ocr
ocr this,ocr
detect text in this invoice and return plain text,ocr
what industries do you work with,convo
scan this scanned pdf and copy the text,ocr
hi,convo
recognize text from this bill and return plain text,ocr
perform kyc for customer and validate details,kyc
what does your company do,convo
extract text from this scanned pdf and give me the content,ocr
highlight differences in two csv files,recon
pan check,kyc
scan this bill and return plain text,ocr
confirm identity for aadhaar for account opening,kyc
check identity for government id and extract name and dob,kyc
do kyc for pan card for verification,kyc
check id,kyc
compare two files,recon
recognize text from this receipt and copy the text,ocr
verify user and extract name and dob,kyc
do kyc for user and extract name and dob,kyc
recognize text from this invoice and return plain text,ocr
verify voter id and validate details,kyc
what services does technodysis provide,convo
pan check,kyc
do ocr,ocr
ocr image,ocr
validate user,kyc
check identity for user for verification,kyc
ocr scan,ocr
verify two reports quickly,recon
perform kyc for government id and extract name and dob,kyc
detect text in this scanned document and show me the extracted words,ocr
extract text from this scanned pdf and give me the content,ocr
what projects have you done,convo
hi,convo
validate user for verification,kyc
validate customer for account opening,kyc
cross-check bank statement and ledger and show mismatches,recon
verify two reports quickly,recon
what projects have you done,convo
find mismatch in two reports and tell me what changed,recon
passport check,kyc
verify two files and show duplicates,recon
scan this invoice,ocr
do recom,recon
convert this invoice,ocr
detect text in this pdf and copy the text,ocr
perform ocr on this photo and give me the content,ocr
where is technodysis located,convo
perform odr,ocr
who is the founder of technodysis,convo
scan this bill and show me the extracted words,ocr
compare two files quickly,recon
reconcile invoice report and payment report and tell me what changed,recon
good evening,convo
extract text from this image and return plain text,ocr
perform ocr on this bill and return plain text,ocr
validate bank statement and ledger,recon
confirm identity for government id,kyc
cross check two spreadsheets quickly,recon
perform kyc for pan card and validate details,kyc
how can i contact technodysis,convo
check identity for passport and validate details,kyc
compare files,recon
verify voter id for onboarding,kyc
compare files,recon
do kyc,kyc
recognize text from this receipt,ocr
do kyc for passport and validate details,kyc
do recon,recon
validate user,kyc
cross check invoice report and payment report and show mismatches,recon
compare two csv files in detail,recon
check identity for customer,kyc
convert this receipt and give me the content,ocr
validate driving license for verification,kyc
tell me about technodysis,convo
convert this image,ocr
check id,kyc
pan check,kyc
what industries do you work with,convo
reconcile two statements quickly,recon
highlight differences in bank statement and ledger and show mismatches,recon
validate customer,kyc
convert this photo and copy the text,ocr
who is the founder of technodysis,convo
find mismatch in transaction records today,recon
confirm identity for passport and validate details,kyc
extract text from this scanned document and copy the text,ocr
validate aadhar for onboarding,kyc
check transaction records and tell me what changed,recon
verify payment records in detail,recon
perform recom,recon
do odr,ocr
convert this invoice,ocr
validate invoice report and payment report and show missing entries,recon
do kyc for government id and extract name and dob,kyc
validate two reports and show duplicates,recon
ocr scan,ocr
what is technodysis,convo
perform kyc for customer for verification,kyc
extract text from this pdf and show me the extracted words,ocr
good morning,convo
do odr,ocr
know your custard,kyc
reconcile two statements in detail,recon
validate user,kyc
convert to text,ocr
extract text from this bill and return plain text,ocr
what services does technodysis provide,convo
detect text in this photo and copy the text,ocr
do kyc for user for account opening,kyc
do kyc for pan card and validate details,kyc
compare files,recon
verify two excel files and show mismatches,recon
perform ocr on this document and show me the extracted words,ocr
what industries do you work with,convo
check mismatch,recon
check id,kyc
hey,convo
recognize text from this scanned document and give me the content,ocr
verify pan card for account opening,kyc
do recon,recon
confirm identity for customer for account opening,kyc
verify bank statement and ledger quickly,recon
check identity for customer and validate details,kyc
do you provide automation services,convo
match two csv files in detail,recon
find diffs,recon
what is technodysis,convo
recognize text from this bill and return plain text,ocr
find mismatch in two files and show mismatches,recon
validate user,kyc
hello,convo
what is technodysis,convo
verify government id for account opening,kyc
hey,convo
